file,size_bytes,sha256,board_sha256,orientation_subject_sha256
J1_inside.png,37192,f8a25d41c37ee74e7a90d9107ccf1dc49ca234ffcf0e2cabc841dc52c87dd50a,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J1_outside.png,38949,359d83b89c4b5cbb63422e947a9dff2a5c1d9e4216533b4ce3cdf728ae518e9f,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J1_top.png,84362,e32ffe939bbd9ce7749a9e2fdad4566872e7cb0e3ae8dd1b10ff04449b1b8581,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J5_inside.png,38197,f54c78638473f22d36fd2ec658e2837d6649b8c6fc6a358ae1b8eeb5f1f6815b,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J5_outside.png,38317,dc703cffb4e419bca1a8acdd9111104d10d3a6de0433803cca5bc90e965b68eb,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J5_top.png,78532,70cdd18d1280ccc9d29c83ba79dc80b6db2bbeeea64f14fecf0a7fb8e152ff5a,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J9_inside.png,44473,2b34bc71b4e6ad319dbf7605775fd0792eac30c9ff84c7c59084b18f67aaa04d,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J9_outside.png,44041,0d808b706ff82a8018e4d9140e8c2cfe873616988694aa7cd0c674b20a5ea787,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J9_profile_a.png,32251,eac212e3e7a3d3b81ce05e2e8e5f422c69ff2ec8ff4b767cb7e1298b837c3d1d,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J9_profile_b.png,32730,b92c7a6ac0531f610f3faa5a7f63236884ac93638b04865f91cbc1754f8e92e5,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
J9_top.png,55960,f128b7436eb396e9eff629cb67a4244f9db01849b367b11a6ca168be59229681,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
front-upper-oblique.png,625047,7081ca5a7af54ad7f885c124548d2e5f119888fe567388b60970a80d7ba9bb30,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
back-upper-oblique.png,640482,4eeba8ee304d138437909a7dc7005a4e404673fe55ecee97878a1fb3ae0bfaa9,7765810d8f9734f0ff893f7411ae80628ccddf5e78a78ee920a3303e9d2a8631,57c3e2ab12381014391dd1258ba6762681e0e460e5826b92604649a1547a5715
